Keyword,Keyword_ID,Category,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
how do you freeze panes in excel,20,Others,1,1,2900,32,0.04,201,0.01,8,0,758000,"[10,44,19,23,29,100,12,100,19,54,19,23]",22-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,AI overview
descriptive vs inferential,20,Others,1,1,2900,56,0.26,201,0.01,52,0,16100000,"[13,81,24,16,24,19,16,7,24,100,13,10]",20-01-2025,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, AI overview",commercial,AI overview
what is itil,20,Others,1,1,2900,62,1.04,201,0.01,209,0.04,30600000,"[52,100,80,80,80,80,66,66,100,66,80,66]",20-01-2025,"Knowledge panel, Reviews, Image, People also ask, Related searches, AI overview",informational,AI overview
business analytics,2,Data & AI,1,1,18100,77,7.95,199,0.01,1582,0.36,1660000000,"[54,66,54,54,66,81,44,44,100,54,66,44]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know, People also search, AI overview",informational,Things to know
ms access,20,Others,5,5,18100,73,3.46,199,0.01,688,0.06,2560000000,"[54,100,81,81,100,16,13,13,13,16,20,13]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,Things to know
online marketing,7,Marketing & SEO,2,1,18100,95,7.7,199,0.01,1532,0.14,8440000000,"[36,44,36,44,44,44,44,54,44,44,54,54]",27-01-2025,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Things to know, People also search, AI overview",informational,Things to know
epoch meaning,20,Others,8,7,22200,59,0,199,0.01,0,0,89500000,"[54,81,100,54,67,54,44,54,44,54,67,67]",26-01-2025,"Instant answer, Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
excel percentage formula,20,Others,3,3,6600,62,0.06,198,0.01,11,0,189000000,"[54,81,81,81,66,81,54,81,81,66,44,54]",27-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
percentage formula in excel,20,Others,3,3,6600,62,0.06,198,0.01,11,0,256000000,"[54,100,66,66,100,54,54,36,36,66,66,29]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
six sigma and,9,Quality & Process,3,3,6600,65,1.74,198,0.01,344,0.24,152000000,"[1,2,2,2,2,1,1,100,36,1,0,0]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, People also search",informational,Organic
excel concatenate,20,Others,3,3,6600,54,0.05,198,0.01,9,0.01,24400000,"[81,66,36,36,36,36,36,29,36,24,29,44]",26-01-2025,"Image pack, Video, People also ask, Related searches",informational,Organic
key things to learn in excel,20,Others,3,3,6600,42,0,198,0.01,0,0,142000000,[100],26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, People also search",informational,Organic
add checkbox in excel,20,Others,3,3,6600,46,0.04,198,0.01,7,0,93200000,"[44,81,36,66,54,100,54,100,36,81,66,29]",26-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
super keys,20,Others,2,2,6600,51,0,198,0.01,0,0,540000000,"[0,0,100,0,0,0,0,0,0,0,0,0]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, AI overview",informational,Organic
cybersecurity job,4,Cybersecurity,1,0,1600,46,3.4,198,0.01,673,0.29,351000000,"[36,16,22,29,16,29,22,29,20,54,43,100]",26-01-2025,"Sitelinks, Video, People also ask, Related searches, Things to know, People also search",commercial,People also ask
type non valide plage de données tableau sheets,20,Others,1,1,880,35,0,197,0.01,0,0,59,"[100,0]",23-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
make into maven project,20,Others,1,1,880,45,0,197,0.01,0,0,40400000,"[100,0]",23-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, People also search, AI overview",informational,AI overview
python list to string,1,Programming & Development,3,3,2400,39,0.05,196,0.01,9,0.05,156000000,"[23,29,29,29,29,29,23,23,23,29,29,23]",20-01-2025,"Sitelinks, People also ask, Related searches",informational,Organic
list to string python,1,Programming & Development,3,3,2400,43,0.07,196,0.01,13,0.04,177000000,"[13,16,19,13,13,10,10,10,10,10,13,8]",25-01-2025,"Sitelinks, Video, Related searches",informational,Organic
python ides,1,Programming & Development,2,2,2400,63,2.44,196,0.01,478,0.06,10200000,"[16,19,29,100,29,13,10,36,10,29,10,8]",25-01-2025,"Carousel, Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
bucket sort,20,Others,3,3,2400,48,0,196,0.01,0,0.03,106000000,"[54,36,54,54,65,36,29,36,43,54,81,54]",20-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",informational,Organic
python slicing,1,Programming & Development,3,3,2400,57,0,196,0.01,0,0,10900000,"[43,36,54,43,100,54,54,36,36,54,100,43]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
interpersonal skills meaning,8,CRM & ERP,3,3,8100,60,0.07,194,0.01,13,0.03,108000000,"[66,100,100,81,81,81,66,66,81,81,66,54]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
standard deviation excel,20,Others,4,4,8100,44,0,194,0.01,0,0,46500000,"[19,36,44,36,44,24,16,19,29,81,54,44]",27-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
how to use vlookup,20,Others,4,5,8100,71,0.09,194,0.01,17,0.01,9780000,"[66,81,81,81,100,81,81,100,81,81,100,81]",27-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,Organic
ordinal data,20,Others,5,5,8100,56,0,194,0.01,0,0,54400000,"[19,54,54,29,24,24,19,16,24,66,44,29]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
python map,1,Programming & Development,8,8,8100,65,0,194,0.01,0,0,240000000,"[44,44,54,44,44,54,29,36,29,36,44,36]",27-01-2025,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
java interview questions,1,Programming & Development,8,9,8100,43,0.12,194,0.01,23,0.1,94900000,"[44,54,54,54,44,44,54,44,54,44,44,54]",27-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Related searches",informational,Organic
what is sfdc,20,Others,4,4,8100,65,3.02,194,0.01,585,0.05,9050000,"[66,66,81,44,16,100,100,36,19,5,81,24]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, See results about, People also search",informational,Organic
excel hotkeys,20,Others,2,2,4400,55,0.1,193,0.01,19,0.48,140000000,"[24,44,36,24,44,66,4,66,100,66,24,54]",23-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
join sql,1,Programming & Development,5,6,4400,69,0.98,193,0.01,189,0.01,140000000,"[29,29,36,36,29,24,19,19,29,29,29,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",informational,Organic
quality control,20,Others,4,4,14800,87,2.74,192,0.01,526,0.02,2520000000,"[54,54,54,66,66,54,44,54,54,54,54,54]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
what is github,16,Tools & Platforms,1,1,14800,81,0.54,192,0.01,103,0.01,435000000,"[66,81,81,66,81,66,66,66,66,81,66,66]",27-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Related searches, People also search",navigational,People also ask
python enumerate,1,Programming & Development,8,7,14800,53,0.49,192,0.01,94,0,453000000,"[54,66,81,66,100,36,36,36,44,54,44,54]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,Organic
rasberry pi,20,Others,1,1,14800,92,0.34,192,0.01,65,1,115000000,"[54,54,81,66,81,81,66,44,81,100,54,66]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches, People also search",navigational,People also ask
enumerate python,1,Programming & Development,8,6,14800,53,0.49,192,0.01,94,0,44500000,"[20,36,36,29,44,24,29,24,24,44,44,44]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,Organic
how to sort backwords python,1,Programming & Development,1,1,2900,60,0,191,0.01,0,0,744000,[100],25-01-2025,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",informational,People also ask
else if python,1,Programming & Development,1,1,2900,61,0.07,191,0.01,13,0.1,127000000,"[10,19,19,16,16,13,10,13,16,24,16,10]",25-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know",informational,People also ask
technical skills examples,20,Others,1,1,2900,56,0.11,191,0.01,21,0.02,0,"[44,66,66,53,66,53,44,44,53,66,66,66]",20-01-2025,"Image pack, Reviews, Video, Image, People also ask, Related searches, Discussions and forums",informational,People also ask
artificial inteligence,20,Others,1,0,2900,94,2.44,191,0.01,466,0.26,1020000000,"[28,36,54,28,36,54,36,28,54,54,54,43]",26-01-2025,"Top stories, Image pack, Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know",informational,People also ask
ms excess,20,Others,1,1,2900,72,0,191,0.01,0,0.01,2630000000,"[19,100,29,5,5,0,0,0,0,0,0,0]",25-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
requirements analysis toolkit,11,Design & UI/UX,1,1,2900,7,0,191,0.01,0,0,495000000,[100],26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,People also ask
ecmascript,20,Others,1,3,2900,91,2.72,191,0.01,519,0,26400000,"[36,65,54,65,65,81,65,54,65,81,81,65]",26-01-2025,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, People also search","commercial, informational",People also ask
data science classes,2,Data & AI,1,1,2900,77,7.81,191,0.01,1491,0.43,1930000000,"[29,35,29,29,54,7,66,100,8,10,10,10]",20-01-2025,"Local pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches, People also search",commercial,People also ask
bitcoin bloacxkchian name,20,Others,1,1,2900,87,0,191,0.01,0,0,45600000,[100],25-01-2025,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches, People also search",informational,People also ask
check box in excel,20,Others,1,1,2900,45,0,191,0.01,0,0,154000000,"[54,81,65,65,65,65,65,81,54,54,54,43]",22-01-2025,"Reviews, Video, Featured snippet, People also ask, Related searches",informational,People also ask
market structure,20,Others,1,1,2900,58,0,191,0.01,0,0,982000000,"[29,29,44,35,44,29,16,12,16,44,44,35]",27-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
q in java,1,Programming & Development,1,1,2900,46,0,191,0.01,0,0,515000000,"[65,81,100,100,100,65,54,65,54,65,81,8]",25-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",commercial,People also ask
if else statement python,1,Programming & Development,1,1,2900,61,0.06,191,0.01,11,0.03,67400000,"[29,44,24,24,44,24,16,4,29,54,7,44]",26-01-2025,"Video, People also ask, Related searches",informational,People also ask
what is hive,20,Others,1,1,2900,56,1.43,191,0.01,273,0.1,266000000,"[8,13,19,16,4,19,13,4,16,19,13,13]",25-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",informational,People also ask
j unit,20,Others,1,1,2900,65,0,191,0.01,0,0,1410000000,"[10,10,100,81,100,16,66,53,24,81,29,81]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
vacancy for business analyst,5,Business & Management,1,1,2900,26,2.02,191,0.01,385,0.09,125000000,"[66,100,1,10,19,13,10,19,36,13,13,3]",20-01-2025,"Sitelinks, People also ask, Related searches, People also search",commercial,People also ask
future of ai,2,Data & AI,1,1,2900,71,2.85,191,0.01,544,0.26,1960000000,"[66,66,66,66,44,53,35,35,35,44,44,53]",22-01-2025,"Top stories, Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",People also ask
best paying jobs in technology,20,Others,1,0,2900,52,1.45,191,0.01,276,0.05,892000000,"[8,8,7,10,5,5,4,4,5,5,5,4]",26-01-2025,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, People also search",commercial,People also ask
is csds major worth anything in the job market,20,Others,1,1,2900,14,0,191,0.01,0,0,78,[100],25-01-2025,"Sitelinks, People also ask, Related searches",commercial,People also ask
social media trends,7,Marketing & SEO,1,1,2900,62,4.17,191,0.01,796,0.07,0,"[44,80,80,80,100,80,52,66,80,80,80,80]",20-01-2025,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, People also search",informational,People also ask
how to insert a checkbox in excel,20,Others,1,0,2900,43,0,191,0.01,0,0,33500000,"[54,43,36,100,54,66,54,43,43,36,36,19]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,People also ask
what is ms access,20,Others,1,1,2900,65,0.33,191,0.01,63,0.01,2770000000,"[10,81,65,54,100,65,65,20,100,81,65,65]",21-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",informational,People also ask
interpersonal skills examples,8,CRM & ERP,1,1,2900,49,0.09,191,0.01,17,0.06,95700000,"[54,81,81,65,65,54,43,43,36,54,65,65]",20-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,People also ask
complexity complexity,20,Others,1,1,2900,48,0,191,0.01,0,0,893000000,"[66,100,3,3,19,13,10,15,36,13,13,3]",20-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,People also ask
vnet,20,Others,1,1,2900,54,2.67,191,0.01,509,0.05,8530000,"[66,66,66,100,66,66,66,100,100,100,100,80]",20-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
what is a tuple in python,1,Programming & Development,1,1,2900,50,0,191,0.01,0,0,20800000,"[10,10,10,13,10,10,8,8,10,19,29,13]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
best data models for marketing,7,Marketing & SEO,1,1,2900,10,0,191,0.01,0,0,1040000000,[100],25-01-2025,"Image pack, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,People also ask
union sql,1,Programming & Development,1,1,2900,60,0.15,191,0.01,28,0.03,34100000,"[12,19,29,19,24,16,16,16,24,16,24,16]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, See results about",informational,People also ask
project management certificate,5,Business & Management,1,0,2900,63,6.85,191,0.01,1308,0.75,951000000,"[19,66,23,19,23,19,19,23,19,19,19,15]",26-01-2025,"Sitelinks, Video, People also ask, Related searches, People also search",commercial,People also ask
project management professional,5,Business & Management,1,1,2900,81,4.52,191,0.01,863,0.58,1810000000,"[53,81,53,53,66,53,53,66,53,66,53,44]",24-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know","commercial, informational",People also ask
'],20,Others,1,1,2900,26,0,191,0.01,0,0,707000000,"[1,0,1,0,1,29,36,0,54,15,54,66]",20-01-2025,"Image pack, Sitelinks, People also ask",informational,People also ask
itil meaning,20,Others,1,1,2900,68,0.75,191,0.01,143,0.03,23200000,"[66,80,80,80,80,80,66,80,80,66,80,66]",23-01-2025,"Reviews, Video, Featured snippet, People also ask, Related searches",informational,People also ask
global ypthn,20,Others,1,1,2900,67,0,191,0.01,0,0,247000000,[100],25-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
uiux,11,Design & UI/UX,1,1,2900,77,3.48,191,0.01,664,0.2,0,"[54,43,65,81,81,65,65,81,100,65,54,54]",21-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
data collection,20,Others,2,2,5400,76,4.01,189,0.01,757,0.04,2480000000,"[54,54,66,81,81,66,54,54,66,54,66,81]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Things to know",informational,Organic
nodejs,1,Programming & Development,1,2,27100,100,2.33,189,0.01,440,0.01,182000000,"[30,36,44,30,44,36,24,30,36,54,36,36]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",navigational,People also ask
data visualization tools,20,Others,2,2,5400,70,9.27,189,0.01,1752,0.39,235000000,"[54,81,81,81,100,66,54,66,66,66,66,81]",26-01-2025,"Image pack, Video, Ads bottom, People also ask, Related searches, People also search","commercial, informational",Organic
descriptive vs inferential statistics,20,Others,2,2,5400,49,0.26,189,0.01,49,0,13600000,"[13,44,44,19,19,19,13,8,24,100,24,10]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",commercial,Organic
python interview questions,1,Programming & Development,6,7,5400,47,0.44,189,0.01,83,0.09,109000000,"[29,36,54,54,44,66,44,54,44,44,44,36]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
leadership interview questions,5,Business & Management,3,3,2900,39,0.1,188,0.01,18,0.27,414000000,"[28,54,66,54,54,66,43,43,43,36,36,36]",23-01-2025,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
project management interview questions,5,Business & Management,3,3,2900,51,0.31,188,0.01,58,0.27,285000000,"[18,44,66,100,29,53,29,44,44,81,35,53]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, People also search, AI overview",informational,Organic
git revert to specific commit,20,Others,4,4,2900,35,0,188,0.01,0,0,9810000,"[35,81,66,29,53,81,53,44,29,24,44,44]",21-01-2025,"Sitelinks, People also ask, Related searches",informational,Organic
epochs,20,Others,4,4,9900,75,0.38,188,0.01,71,0.01,175000000,"[29,54,100,44,54,44,29,36,29,54,66,44]",26-01-2025,"Instant answer, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, See results about",informational,Organic
sql datediff,1,Programming & Development,4,4,2900,47,0.08,188,0.01,15,0.02,2900000,"[29,35,35,35,35,35,29,35,35,29,44,29]",23-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",transactional,Organic
js interview questions,20,Others,4,4,2900,39,0.37,188,0.01,69,0.09,84300000,"[65,81,54,65,100,65,54,65,65,43,43,29]",23-01-2025,"Image pack, Video, Related searches, Discussions and forums",commercial,Organic
sql concat,1,Programming & Development,4,4,2900,48,0.06,188,0.01,11,0,49900000,"[43,66,43,54,100,43,28,36,28,43,54,36]",23-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
blockchain technology,2,Data & AI,7,9,9900,100,1.46,188,0.01,274,0.19,193000000,"[16,20,16,20,20,16,13,13,16,13,20,24]",26-01-2025,"Top stories, Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
in python,1,Programming & Development,6,5,9900,82,0.75,188,0.01,141,0.03,735000000,"[36,54,44,66,44,36,54,36,44,100,54,36]",27-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
cyber security salary,4,Cybersecurity,16,19,60500,47,6.66,181,0.01,1205,0.2,429000000,"[66,81,66,66,66,66,54,54,54,54,54,44]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,Organic
technologies,20,Others,2,1,12100,93,1.61,181,0.01,291,0.02,2870000000,"[20,16,29,24,20,24,20,29,66,36,36,10]",27-01-2025,"Sitelinks, Video Carousel, People also ask, Related searches, Things to know, People also search",informational,Things to know
erd diagram,20,Others,1,1,4400,78,3.77,181,0.01,682,0.06,11900000,"[29,66,100,66,66,35,35,54,44,81,81,44]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
tuple,20,Others,4,4,12100,84,0.9,181,0.01,162,0.01,55400000,"[44,54,66,66,54,54,44,36,44,81,81,54]",27-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know","commercial, informational",People also ask
six sigma metrics tool,9,Quality & Process,1,1,4400,16,0,180,0.01,0,0,18100000,[100],24-01-2025,"Image pack, Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches",informational,People also ask
https://app.bhuman.ai,2,Data & AI,2,2,4400,19,0,180,0.01,0,0,272000,[100],24-01-2025,"Sitelinks, Reviews, Video, People also ask","navigational, transactional",People also ask
c sharp language,20,Others,1,1,4400,86,1.99,180,0.01,358,0.02,731000000,"[2,5,4,1,100,66,5,3,13,1,24,44]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
python comment,1,Programming & Development,1,1,4400,56,0.06,180,0.01,10,0.08,316000000,"[36,81,44,54,54,36,29,16,44,36,44,19]",25-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
is a fill a vector,20,Others,1,1,4400,33,0,180,0.01,0,0,350000000,[100],24-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
artificial intelligence tools,2,Data & AI,1,1,4400,76,2.81,180,0.01,505,0.26,400000000,"[3,3,4,3,44,66,54,12,100,8,29,44]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,People also ask
data model,20,Others,1,1,4400,67,3.08,180,0.01,554,0.04,3250000000,"[36,44,44,44,54,100,36,44,29,29,54,36]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
what is correlation,20,Others,1,1,4400,73,0,180,0.01,0,0,719000000,"[54,66,81,54,66,54,28,19,43,100,81,66]",21-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, People also search",informational,People also ask
what does a business analyst do,5,Business & Management,1,1,4400,49,2.14,180,0.01,385,0.14,494000000,"[66,100,100,81,81,66,66,53,81,81,100,66]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,People also ask
google sheel vlook up,20,Others,1,1,4400,45,0,180,0.01,0,0,7160000,"[66,100]",25-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
tuple python,1,Programming & Development,1,0,4400,64,0.39,180,0.01,70,0,36700000,"[24,29,29,29,29,19,16,24,16,36,29,36]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
release anager,20,Others,1,1,4400,28,0,180,0.01,0,0,1480000000,[100],24-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, AI overview",informational,People also ask
full stack developer salary,1,Programming & Development,1,1,4400,28,5.12,180,0.01,921,0.06,33900000,"[29,54,44,54,44,54,44,44,44,44,44,36]",26-01-2025,"Image pack, Video, Featured snippet, People also ask, Related searches",informational,People also ask
p value method when to reject null hypothesis,20,Others,1,1,4400,50,0,180,0.01,0,0,8990000,[100],24-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
frontend vs fullst,20,Others,1,1,4400,34,0,180,0.01,0,0,271000000,[100],24-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",commercial,People also ask
skewness,20,Others,1,1,4400,70,0,180,0.01,0,0,25300000,"[29,44,54,44,44,36,24,29,29,66,66,36]",24-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches, Things to know, People also search",informational,People also ask
what about technology,20,Others,1,1,4400,66,1.18,180,0.01,212,0,4920000000,"[0,0,66,54,54,54,35,29,66,100,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, People also ask, Related searches, People also search",informational,People also ask
fullstack,20,Others,1,1,4400,71,3.45,180,0.01,621,0.13,134000000,"[66,66,100,54,81,54,54,66,54,81,66,54]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about",informational,People also ask
amazon web services vs microsoft azure,3,Cloud & DevOps,1,1,320,50,2.42,179,0.01,433,0.08,99000000,"[100,100,81,100,100,5,2,2,2,2,2,2]",10-01-2025,"Sitelinks, Reviews, People also ask, Related searches, AI overview",commercial,AI overview
how to calculate standard deviation excel,20,Others,1,1,720,50,0.02,178,0.01,3,0,39900000,"[16,37,84,20,31,46,16,37,16,52,37,31]",20-01-2025,"Reviews, Featured snippet, People also ask, Related searches",informational,Organic
tcp/ip protocols,20,Others,1,1,720,63,0.57,178,0.01,101,0,30400000,"[20,36,36,62,45,20,36,30,36,45,62,100]",25-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
new technology technology,20,Others,1,1,720,82,0.69,178,0.01,122,0.32,7960000000,"[0,82,55,100,82,0,0,0,0,0,0,0]",19-01-2025,"Image pack, Video, Video Carousel, People also ask, Related searches, People also search","informational, transactional",Organic
calculate sd in excel,20,Others,1,1,720,50,0,178,0.01,0,0,35800000,"[45,36,30,62,30,24,13,36,36,100,62,100]",19-01-2025,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
declare new dictionary vaue pythno,20,Others,1,1,720,50,0,178,0.01,0,0,53200000,"[100,0,0]",23-01-2025,"Sitelinks, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
how do you define a function in python,1,Programming & Development,1,1,720,64,0.61,178,0.01,108,0.01,176000000,"[3,54,54,66,36,24,20,20,24,41,36,24]",21-01-2025,"Sitelinks, Featured snippet, People also ask, Related searches, Discussions and forums, Questions and answers",informational,Organic
ai software,1,Programming & Development,1,2,8100,83,4.28,178,0.01,761,0.49,3570000000,"[29,36,44,36,36,66,66,100,66,36,36,44]",27-01-2025,"Top stories, Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches, Things to know, People also search, Ads middle",commercial,People also ask
data analyst duties and responsibilities,20,Others,1,1,720,48,1.1,178,0.01,195,0.11,62500000,"[20,80,66,27,3,5,3,5,3,7,7,3]",19-01-2025,"Image pack, Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches, People also search","commercial, informational",Organic
describe descriptive statistics,20,Others,1,1,720,61,0,178,0.01,0,0,231000000,"[4,100,11,25,46,46,37,20,46,68,25,11]",18-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
product design career opportunities,11,Design & UI/UX,1,1,720,30,1.07,178,0.01,190,0.04,831000000,"[88,88,72,88,72,72,72,88,100,59,72,32]",18-01-2025,"Sitelinks, People also ask, Related searches, Discussions and forums, People also search",commercial,Organic
website 1.0,20,Others,1,1,720,47,0,178,0.01,0,0,487000000,"[67,67,55,67,55,45,36,45,55,36,55,20]",16-01-2025,"Image pack, Sitelinks, Reviews, People also ask","commercial, informational",Organic
manual testing interview questions,13,Testing & QA,1,1,720,45,0.22,178,0.01,39,0.09,83900000,"[30,41,36,30,36,30,30,30,24,30,30,20]",15-01-2025,"Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
database testing experience,13,Testing & QA,1,1,720,26,0,178,0.01,0,0,515000000,"[100,0,0]",23-01-2025,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,Organic
causation vs correlation,20,Others,1,1,8100,66,0.47,178,0.01,83,0.01,78700000,"[54,44,44,36,81,66,29,36,44,100,100,54]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",commercial,People also ask
what is a dictionary in python,1,Programming & Development,1,1,720,78,0,178,0.01,0,0,84100000,"[55,55,67,45,67,55,45,45,36,67,100,45]",13-01-2025,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
